PrdBrief,PrdCode,Risk,BeginDate,EndDate,ShowExpireDate,SaleChannelName,AreaCode
招银理财招睿鑫远生金十四月开5S,118905S,R3(稳健型),2022-03-07,2022-03-10,2032-03-11,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿鑫远生金十四月开5A,118905A,R3(稳健型),2022-03-07,2022-03-10,2032-03-11,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财颐养丰润进取一年开8A,100308A,R3(稳健型),2022-03-02,2022-03-08,2032-03-09,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
中银理财-悦享(180天持有期),ZY040203,R2(谨慎型),2022-02-28,2022-03-04,2121-03-07,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财招睿睿远稳进三年5C,103565C,R3(稳健型),2022-02-25,2022-03-03,2025-03-04,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿睿远稳进三年5A,103565A,R3(稳健型),2022-02-25,2022-03-03,2025-03-04,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
光大理财阳光金13M丰利8期,GD010204,R2(谨慎型),2022-02-25,2022-03-07,2023-04-10,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
交银理财稳享精选资产1年202201,JY020250,R2(谨慎型),2022-02-23,2022-03-01,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
信银理财全盈象固收稳健年开8号G,ZX020219,R2(谨慎型),2022-02-23,2022-03-02,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
信银理财全盈象固收稳健年开8号B,ZX020218,R2(谨慎型),2022-02-23,2022-03-02,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财招睿金鼎十四月封闭10A,107910A,R2(谨慎型),2022-02-22,2022-02-28,2023-05-08,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
兴银理财兴动多策略封闭式2号,XY010202,R2(谨慎型),2022-02-22,2022-02-28,2023-03-07,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
建信理财嘉鑫15个月定开第3期,JX020212,R2(谨慎型),2022-02-22,2022-03-01,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财睿远平衡全球消费周开1号,105100,R3(稳健型),2022-02-21,2022-02-24,2032-02-25,柜台|可视柜台|网银专业版|网银大众版|电话人工|电话语音|企业网银|手机|全球连线手机|全球连线网银|全球连线电话银行|托管网银,全行
交银理财稳享灵动慧利14个月7号,JY020249,R2(谨慎型),2022-02-21,2022-03-01,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
农银理财农银安心半年开放第4期,NY020207,R2(谨慎型),2022-02-21,2022-02-28,2032-03-01,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财招智睿远平衡四十七期A,103241A,R3(稳健型),2022-02-18,2022-02-24,2024-02-25,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财颐养丰润进取一年开7A,100307A,R3(稳健型),2022-02-18,2022-02-24,2032-02-25,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
稳富增强（2年封闭式）45期,ZY010302,R3(稳健型),2022-02-17,2022-02-25,2024-03-28,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
中银理财-稳富（1年封闭式）01期,ZY010216,R2(谨慎型),2022-02-17,2022-02-24,2023-03-27,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
兴银理财ESG悦动7号B,XY020231,R2(谨慎型),2022-02-17,2022-02-22,2030-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
华夏理财固收纯债一年定开6号B,HX020204,R2(谨慎型),2022-02-17,2022-02-24,2100-02-25,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财招卓专精特新,103804,R5(激进型),2022-02-15,2022-02-21,2032-02-22,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
建信理财睿鑫固收2022年第110期,JX010306,R3(稳健型),2022-02-15,2022-02-21,2024-04-19,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财招睿智远她享两年封闭1C,107751C,R3(稳健型),2022-02-14,2022-02-21,2024-02-22,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行|托管网银,全行
招银理财招睿智远她享两年封闭1A,107751A,R3(稳健型),2022-02-14,2022-02-21,2024-02-22,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行|托管网银,全行
招银理财招睿鑫远生金十四月开4A,118904A,R3(稳健型),2022-02-14,2022-02-17,2032-02-18,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行|托管网银,全行
