PrdBrief,PrdCode,Risk,BeginDate,EndDate,ShowExpireDate,SaleChannelName,AreaCode
招银理财和鼎高评级30天持有期1B,107819B,R1(保守型),2022-04-21,2022-04-25,2032-04-26,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
光大理财阳光金15M丰利13期,GD010206,R2(谨慎型),2022-04-21,2022-04-28,2023-07-29,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财颐养丰润二十五月封闭4C,100255C,R2(谨慎型),2022-04-20,2022-04-26,2024-05-27,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财颐养丰润二十五月封闭4A,100255A,R2(谨慎型),2022-04-20,2022-04-26,2024-05-27,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿金鼎十八月封闭2A,107982A,R2(谨慎型),2022-04-19,2022-04-25,2023-10-26,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
交银理财固收增强14月封闭1号,JY010206,R3(稳健型),2022-04-19,2022-04-26,2023-06-27,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财颐养丰润十四月封闭18A,100418A,R2(谨慎型),2022-04-19,2022-04-26,2023-06-27,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财睿和偏债混合精选日开1C,100810C,R3(稳健型),2022-04-19,2022-04-25,2032-04-26,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财睿和偏债混合精选日开1A,100810A,R3(稳健型),2022-04-19,2022-04-25,2032-04-26,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财颐养丰润九个月封闭2A,100092A,R2(谨慎型),2022-04-18,2022-04-25,2023-01-17,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财颐养丰润六个月封闭3A,100063A,R2(谨慎型),2022-04-18,2022-04-25,2022-10-26,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿鑫远生金十四月开6S,118906S,R3(稳健型),2022-04-18,2022-04-25,2032-04-26,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿鑫远生金十四月开6A,118906A,R3(稳健型),2022-04-18,2022-04-25,2032-04-26,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
中银理财-稳裕（3个月封闭式）22年01,ZY010217,R1(保守型),2022-04-18,2022-04-20,2022-07-29,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财招睿增利45号B,660045B,R2(谨慎型),2022-04-14,2022-04-20,2024-05-21,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿增利45号A,660045A,R2(谨慎型),2022-04-14,2022-04-20,2024-05-21,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
建信理财睿鑫固收2022年第222期,JX010308,R3(稳健型),2022-04-14,2022-04-20,2025-04-16,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
交银理财灵动慧利14个月封闭1号,JY010205,R2(谨慎型),2022-04-14,2022-04-21,2023-06-27,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
交银理财稳享日开（同业存单存款）企享专属,JYPB0302,R2(谨慎型),2022-04-13,2022-04-14,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
交银理财稳享日开（同业存单存款）私银尊享,JYPB0301,R2(谨慎型),2022-04-13,2022-04-14,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财打新增强策略季开1号,100732,R3(稳健型),2022-04-12,2022-04-18,2032-04-19,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿智远未来三年封闭8C,107708C,R3(稳健型),2022-04-12,2022-04-18,2025-04-19,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿智远未来三年封闭8A,107708A,R3(稳健型),2022-04-12,2022-04-18,2025-04-19,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财鑫远生金二十六月封闭1S,118261S,R3(稳健型),2022-04-12,2022-04-18,2024-06-19,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财鑫远生金二十六月封闭1A,118261A,R3(稳健型),2022-04-12,2022-04-18,2024-06-19,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿增利46号B,660046B,R2(谨慎型),2022-04-08,2022-04-13,2022-07-14,柜台|可视柜台|网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿增利46号A,660046A,R2(谨慎型),2022-04-08,2022-04-13,2022-07-14,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿金鼎十四月封闭14A,107914A,R2(谨慎型),2022-04-08,2022-04-14,2023-06-15,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招智睿和均衡优选日开1C,100811C,R3(稳健型),2022-04-08,2022-04-14,2032-04-15,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招智睿和均衡优选日开1A,100811A,R3(稳健型),2022-04-08,2022-04-14,2032-04-15,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
信银理财固盈象固收稳健三年封闭式3号B,ZX010206,R2(谨慎型),2022-04-07,2022-04-14,2025-04-22,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
信银理财固盈象固收稳健三年封闭式3号G,ZX010207,R2(谨慎型),2022-04-07,2022-04-14,2025-04-22,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
建信理财嘉鑫14个月定开第2期,JX020213,R2(谨慎型),2022-04-06,2022-04-13,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财招睿智远尊享2C,PB19352C,R3(稳健型),2022-04-01,2022-04-11,2024-06-12,托管网银,全行
招银理财招睿智远尊享2A,PB19352A,R3(稳健型),2022-04-01,2022-04-11,2024-06-12,柜台|可视柜台|网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
建信安享固收类封闭养老2022年第6期,JX010601,R2(谨慎型),2022-04-01,2022-04-11,2027-04-16,网银专业版|网银大众版|手机,全行
招银理财招睿睿远稳进三年6C,103566C,R3(稳健型),2022-03-31,2022-04-11,2025-04-12,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿睿远稳进三年6A,103566A,R3(稳健型),2022-03-31,2022-04-11,2025-04-12,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财和鼎生金三个月QDII1A,107831A,R1(保守型),2022-03-30,2022-03-31,2022-07-06,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财颐养丰润九个月封闭1A,100091A,R2(谨慎型),2022-03-30,2022-04-07,2022-12-28,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
交银理财固收精选日开（14天持有期）,JY040207,R2(谨慎型),2022-03-30,2022-03-31,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财颐养丰润六个月封闭2A,100062A,R2(谨慎型),2022-03-30,2022-04-07,2022-09-28,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财颐养丰润三年封闭5C,100235C,R2(谨慎型),2022-03-30,2022-04-06,2025-03-26,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿颐养丰润三年封闭5A,100235A,R2(谨慎型),2022-03-30,2022-04-06,2025-03-26,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
光大理财阳光金18M增利稳健4号,GD020210,R3(稳健型),2022-03-30,2022-04-06,2099-04-07,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财招睿金鼎十四月封闭13A,107913A,R2(谨慎型),2022-03-28,2022-04-07,2023-06-12,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿智远尊享1C,PB10935C,R3(稳健型),2022-03-25,2022-03-31,2024-06-01,托管网银,全行
招银理财招睿智远尊享1A,PB10935A,R3(稳健型),2022-03-25,2022-03-31,2024-06-01,柜台|可视柜台|网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
招银理财招睿金鼎两年封闭2C,107922C,R2(谨慎型),2022-03-25,2022-03-31,2024-04-01,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿金鼎两年封闭2A,107922A,R2(谨慎型),2022-03-25,2022-03-31,2024-04-01,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿增利44号A,660044A,R2(谨慎型),2022-03-25,2022-04-06,2023-06-28,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
交银理财稳享灵动慧利14个月8号,JY020254,R2(谨慎型),2022-03-25,2022-04-06,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财招睿智远十四月开1号A,107781A,R3(稳健型),2022-03-25,2022-03-31,2032-04-01,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
